Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],Humidity [%],Temp Atmos [C],Distance [mm],
2020/02/24 09:06:12,950.91,11.39,3.82,4.25,4.81,62.73,5.92,656,
2020/02/24 09:11:12,950.98,11.31,3.75,4.25,4.81,65.56,5.72,654,
2020/02/24 09:16:12,951.46,11.28,3.71,4.25,4.81,61.98,6.24,654,
2020/02/24 09:21:12,951.03,11.41,3.83,4.50,4.81,63.24,6.15,657,
2020/02/24 09:26:12,950.85,11.34,3.87,4.50,4.81,63.83,5.92,656,
2020/02/24 09:31:12,950.91,11.27,3.84,4.25,4.81,63.77,5.80,655,
2020/02/24 09:36:12,950.94,11.25,3.80,4.25,4.81,62.18,6.28,657,
2020/02/24 09:41:12,951.16,11.30,3.85,4.50,4.81,61.30,6.16,650,
2020/02/24 09:46:12,951.12,11.34,3.91,4.50,4.81,61.79,6.16,650,
2020/02/24 09:51:12,951.00,11.18,3.88,4.25,4.81,63.32,5.83,654,
2020/02/24 09:56:12,951.13,11.29,3.85,4.50,4.81,61.74,6.22,656,
2020/02/24 10:01:12,950.93,11.28,3.93,4.50,4.81,62.19,5.81,651,
2020/02/24 10:06:12,951.09,11.24,3.95,4.50,4.80,64.29,5.61,647,
2020/02/24 10:11:12,951.04,11.19,3.88,4.50,4.81,63.01,5.93,651,
2020/02/24 10:16:12,951.04,11.22,3.86,4.50,4.81,64.42,5.69,655,
2020/02/24 10:21:12,951.01,11.37,3.86,4.25,4.81,61.93,6.15,655,
2020/02/24 10:26:12,950.80,11.30,3.91,4.50,4.81,62.70,5.88,655,
2020/02/24 10:31:12,950.76,11.29,3.95,4.50,4.80,62.40,6.03,651,
2020/02/24 10:36:12,950.81,11.31,4.04,4.50,4.81,62.15,6.15,650,
2020/02/24 10:41:12,950.58,11.25,4.09,4.75,4.81,62.63,6.14,653,
2020/02/24 10:46:12,950.79,11.16,4.07,4.50,4.81,62.90,5.92,662,
