Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], NumTicks [Cnt], 
2020/02/20 13:39:44,998.17,21.60,25.62,26.75,2.76,0,
2020/02/20 13:39:49,998.19,21.61,25.62,26.75,2.76,0,
2020/02/20 13:39:54,998.19,21.61,25.63,26.75,2.76,0,
2020/02/20 13:39:59,998.16,21.62,25.64,26.50,2.76,0,
2020/02/20 13:40:04,998.19,21.61,25.64,26.50,2.76,0,
2020/02/20 13:40:09,998.14,21.61,25.64,26.75,2.77,0,
2020/02/20 13:40:14,998.21,21.61,25.65,26.75,2.76,0,
2020/02/20 13:40:19,998.24,21.61,25.65,26.75,2.76,0,
2020/02/20 13:40:24,998.20,21.69,25.65,26.75,2.76,0,
2020/02/20 13:40:29,998.16,21.74,25.66,26.75,2.77,0,
2020/02/20 13:40:34,998.15,21.75,25.66,26.75,2.76,0,
2020/02/20 13:40:39,998.13,21.79,25.67,26.75,2.76,0,
2020/02/20 13:40:44,998.15,21.72,25.67,26.75,2.76,0,
