Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:30:20,998.03,23.17,25.50,26.50,2.77,0,
2020/02/20 12:30:25,998.03,23.16,25.51,26.50,2.76,1,
2020/02/20 12:30:30,998.07,23.17,25.52,26.50,2.76,0,
2020/02/20 12:30:35,998.09,23.11,25.51,26.50,2.76,0,
2020/02/20 12:30:40,998.09,23.08,25.51,26.50,2.76,0,
2020/02/20 12:30:45,998.09,23.06,25.51,26.50,2.76,0,
2020/02/20 12:30:50,998.09,23.04,25.52,26.50,2.77,208,
2020/02/20 12:30:55,998.04,23.04,25.52,26.50,2.77,158,
2020/02/20 12:31:00,998.09,23.03,25.52,26.50,2.77,0,
2020/02/20 12:31:05,998.11,23.09,25.51,26.50,2.76,0,
2020/02/20 12:31:10,998.07,23.08,25.52,26.50,2.77,0,
2020/02/20 12:31:15,998.05,23.07,25.52,26.50,2.77,0,
2020/02/20 12:31:20,998.06,23.06,25.51,26.50,2.77,0,
2020/02/20 12:31:25,998.02,23.03,25.50,26.50,2.76,1,
2020/02/20 12:31:30,998.06,23.06,25.50,26.50,2.76,0,
2020/02/20 12:31:35,998.07,23.05,25.51,26.50,2.76,0,
2020/02/20 12:31:40,998.02,23.08,25.51,26.50,2.77,0,
2020/02/20 12:31:45,998.09,23.06,25.51,26.50,2.76,0,
2020/02/20 12:31:50,998.05,23.04,25.51,26.50,2.76,0,
2020/02/20 12:31:55,998.09,23.01,25.51,26.50,2.76,119,
2020/02/20 12:32:00,998.03,23.01,25.51,26.50,2.77,114,
2020/02/20 12:32:05,998.05,23.00,25.52,26.50,2.76,216,
2020/02/20 12:32:10,998.05,23.01,25.52,26.50,2.77,179,
2020/02/20 12:32:15,998.01,23.03,25.52,26.50,2.76,102,
2020/02/20 12:32:20,998.08,23.01,25.52,26.50,2.76,21,
2020/02/20 12:32:25,998.06,22.98,25.53,26.50,2.77,89,
2020/02/20 12:32:30,998.06,23.04,25.53,26.50,2.76,216,
2020/02/20 12:32:35,998.02,22.94,25.51,26.50,2.76,216,
2020/02/20 12:32:40,998.03,23.20,25.52,26.50,2.77,216,
2020/02/20 12:32:45,998.01,23.26,25.52,26.50,2.76,217,
2020/02/20 12:32:50,998.04,23.28,25.52,26.50,2.77,216,
2020/02/20 12:32:55,998.06,23.43,25.53,26.50,2.77,216,
2020/02/20 12:33:00,998.02,23.43,25.53,26.50,2.77,216,
2020/02/20 12:33:05,998.01,23.59,25.54,26.50,2.76,215,
2020/02/20 12:33:10,998.06,23.49,25.54,26.50,2.77,215,
2020/02/20 12:33:15,998.04,23.43,25.54,26.50,2.76,216,
2020/02/20 12:33:20,998.09,23.26,25.54,26.50,2.77,216,
2020/02/20 12:33:25,998.08,23.19,25.55,26.50,2.76,216,
2020/02/20 12:33:30,998.06,23.16,25.54,26.50,2.77,216,
2020/02/20 12:33:35,998.04,23.16,25.55,26.50,2.76,216,
2020/02/20 12:33:40,998.02,23.17,25.55,26.50,2.77,216,
2020/02/20 12:33:45,998.07,23.21,25.56,26.50,2.77,218,
2020/02/20 12:33:50,998.07,23.21,25.56,26.50,2.76,217,
2020/02/20 12:33:55,998.09,23.19,25.56,26.50,2.77,216,
2020/02/20 12:34:00,998.07,23.26,25.57,26.75,2.77,216,
2020/02/20 12:34:05,998.05,23.39,25.57,26.75,2.77,216,
2020/02/20 12:34:10,998.02,23.59,25.57,26.50,2.76,216,
2020/02/20 12:34:15,998.01,23.52,25.57,26.50,2.77,216,
2020/02/20 12:34:20,998.04,23.43,25.58,26.50,2.77,216,
2020/02/20 12:34:25,998.04,23.32,25.58,26.50,2.77,216,
2020/02/20 12:34:30,998.07,23.23,25.57,26.50,2.77,217,
2020/02/20 12:34:35,998.04,23.20,25.58,26.50,2.77,216,
2020/02/20 12:34:40,998.04,23.17,25.58,26.50,2.77,216,
2020/02/20 12:34:45,998.07,23.16,25.58,26.50,2.76,216,
2020/02/20 12:34:50,998.11,23.15,25.59,26.75,2.77,213,
2020/02/20 12:34:55,998.06,23.18,25.58,26.75,2.77,213,
2020/02/20 12:35:00,998.10,23.24,25.58,26.50,2.77,212,
2020/02/20 12:35:05,998.09,24.59,25.59,26.50,2.76,216,
2020/02/20 12:35:10,998.08,23.86,25.59,26.50,2.77,217,
2020/02/20 12:35:15,998.08,23.69,25.60,26.50,2.76,216,
2020/02/20 12:35:20,998.09,23.56,25.60,26.50,2.76,216,
2020/02/20 12:35:25,998.09,23.42,25.60,26.75,2.77,216,
2020/02/20 12:35:30,998.09,23.65,25.60,26.75,2.77,18,
2020/02/20 12:35:35,998.07,23.53,25.60,26.75,2.76,0,
2020/02/20 12:35:40,998.05,23.31,25.60,26.50,2.77,1,
2020/02/20 12:35:45,998.08,23.27,25.60,26.50,2.76,0,
2020/02/20 12:35:50,998.07,23.25,25.60,26.75,2.76,0,
2020/02/20 12:35:55,998.07,23.37,25.60,26.50,2.76,0,
2020/02/20 12:36:00,998.06,23.49,25.60,26.50,2.77,3,
2020/02/20 12:36:05,998.11,23.28,25.61,26.75,2.77,1,
2020/02/20 12:36:10,998.07,23.10,25.61,26.75,2.76,0,
2020/02/20 12:36:15,998.08,23.19,25.61,26.50,2.76,0,
2020/02/20 12:36:20,998.09,23.24,25.61,26.75,2.77,0,
2020/02/20 12:36:25,998.09,23.50,25.61,26.75,2.76,1,
2020/02/20 12:36:30,998.05,23.59,25.61,26.50,2.77,0,
2020/02/20 12:36:35,998.08,23.61,25.61,26.75,2.76,171,
2020/02/20 12:36:40,998.11,23.64,25.61,26.75,2.76,214,
2020/02/20 12:36:45,998.10,23.53,25.61,26.75,2.76,215,
2020/02/20 12:36:50,998.06,23.43,25.61,26.50,2.76,213,
