Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%], Temp Atmos [C],Distace [mm], 
2020/02/24 04:54:21,949.50,14.73,4.97,5.50,4.79,62.87,8.07,579,
2020/02/24 04:59:21,949.85,15.14,4.92,5.50,4.79,65.40,7.50,556,
2020/02/24 05:04:21,949.82,15.11,4.82,5.50,4.79,66.08,7.60,575,
2020/02/24 05:09:21,949.87,15.01,4.73,5.25,4.79,65.87,7.85,578,
2020/02/24 05:14:21,949.65,15.15,4.70,5.25,4.79,65.54,7.95,586,
2020/02/24 05:19:21,949.63,15.28,4.59,5.25,4.79,64.68,7.60,585,
2020/02/24 05:24:21,949.79,14.93,4.52,5.25,4.79,63.60,7.34,585,
2020/02/24 05:29:21,949.90,14.89,4.53,5.00,4.79,63.21,7.30,586,
2020/02/24 05:34:21,949.75,14.51,4.57,5.25,4.79,62.46,7.77,588,
2020/02/24 05:39:21,949.97,14.86,4.64,5.25,4.79,64.63,7.56,585,
2020/02/24 05:44:21,949.94,15.12,4.63,5.25,4.79,64.18,7.19,586,
2020/02/24 05:49:21,949.76,14.89,4.63,5.25,4.79,62.41,7.84,580,
2020/02/24 05:54:21,950.10,15.00,4.61,5.25,4.79,63.67,7.24,589,
2020/02/24 05:59:21,950.03,14.79,4.61,5.25,4.79,62.03,7.43,587,
2020/02/24 06:04:21,950.39,14.91,4.60,5.25,4.79,61.55,7.35,586,
2020/02/24 06:09:21,950.17,15.58,4.65,5.25,4.79,60.55,7.73,587,
2020/02/24 06:14:21,950.32,15.21,4.53,5.25,4.79,62.95,6.97,589,
2020/02/24 06:19:21,950.25,15.16,4.39,5.00,4.79,62.94,7.21,589,
2020/02/24 06:24:21,950.12,15.04,4.29,4.75,4.79,61.13,7.09,584,
2020/02/24 06:29:21,950.17,14.96,4.22,4.75,4.79,61.99,6.94,590,
2020/02/24 06:34:21,950.25,14.95,4.14,4.75,4.79,59.89,6.84,588,
2020/02/24 06:39:21,950.08,14.71,4.14,4.75,4.79,54.57,7.64,588,
2020/02/24 06:44:21,950.12,14.68,4.34,5.00,4.79,57.55,6.98,573,
2020/02/24 06:49:21,950.21,14.97,4.39,5.00,4.79,61.64,6.58,574,
2020/02/24 06:54:21,950.19,14.82,4.29,5.00,4.79,61.79,6.95,585,
2020/02/24 06:59:21,950.44,14.99,4.14,4.75,4.79,65.91,5.98,572,
2020/02/24 07:04:21,950.51,15.07,3.88,4.50,4.79,68.27,6.05,595,
2020/02/24 07:09:21,950.71,15.26,3.66,4.25,4.79,67.33,6.00,580,
2020/02/24 07:14:21,950.64,15.14,3.51,4.25,4.79,66.82,6.24,593,
2020/02/24 07:19:21,950.72,14.88,3.42,4.00,4.79,66.63,6.15,583,
2020/02/24 07:24:21,950.85,14.94,3.36,4.00,4.79,67.40,6.04,568,
2020/02/24 07:29:21,950.74,14.67,3.36,4.00,4.79,65.38,6.47,577,
2020/02/24 07:34:21,951.02,14.62,3.42,4.00,4.79,68.30,5.76,563,
2020/02/24 07:39:21,950.97,14.59,3.40,4.00,4.79,67.13,6.15,575,
2020/02/24 07:44:21,950.88,14.54,3.41,4.00,4.79,66.91,6.29,583,
2020/02/24 07:49:21,951.12,14.52,3.42,4.00,4.79,67.68,5.86,579,
2020/02/24 07:54:21,950.97,14.37,3.40,4.00,4.79,69.53,5.47,585,
2020/02/24 07:59:21,950.88,14.02,3.36,4.00,4.79,67.35,6.15,590,
2020/02/24 08:04:21,951.30,14.04,3.42,4.00,4.79,67.50,6.17,559,
2020/02/24 08:09:21,951.30,14.27,3.46,4.25,4.79,67.77,5.72,578,
2020/02/24 08:14:21,951.10,14.24,3.42,4.00,4.79,68.83,5.60,585,
2020/02/24 08:19:21,951.14,14.16,3.41,4.00,4.79,67.85,5.98,583,
2020/02/24 08:24:21,951.17,14.17,3.41,4.00,4.79,68.58,5.79,592,
2020/02/24 08:29:21,951.30,13.90,3.36,4.00,4.79,65.36,6.32,588,
2020/02/24 08:34:21,951.04,13.87,3.42,4.00,4.79,65.72,5.93,583,
2020/02/24 08:39:21,950.83,13.96,3.48,4.00,4.79,67.76,5.87,581,
2020/02/24 08:44:21,951.02,13.83,3.43,4.00,4.79,65.47,6.35,583,
2020/02/24 08:49:21,950.95,13.81,3.42,4.00,4.79,66.50,5.98,587,
2020/02/24 08:54:21,951.12,13.56,3.41,4.00,4.79,66.08,5.95,583,
2020/02/24 08:59:21,950.93,13.65,3.37,4.00,4.79,65.87,6.25,580,
2020/02/24 09:04:21,951.10,13.63,3.35,4.00,4.79,64.34,6.09,584,
2020/02/24 09:09:21,950.85,13.73,3.36,4.00,4.79,66.71,5.90,588,
2020/02/24 09:14:21,951.09,13.72,3.33,4.00,4.79,66.05,6.05,585,
2020/02/24 09:19:21,950.97,13.44,3.37,4.00,4.79,62.79,6.39,587,
2020/02/24 09:24:21,950.99,13.59,3.46,4.00,4.79,64.36,6.29,590,
2020/02/24 09:29:21,951.01,13.69,3.45,4.00,4.79,64.96,6.11,589,
2020/02/24 09:34:21,950.98,13.70,3.40,4.00,4.79,64.10,6.40,588,
2020/02/24 09:39:21,951.03,13.77,3.40,4.00,4.79,62.99,6.50,589,
2020/02/24 09:44:21,951.04,13.75,3.44,4.00,4.79,63.68,6.39,589,
2020/02/24 09:49:21,950.85,13.82,3.47,4.00,4.79,65.81,5.74,590,
2020/02/24 09:54:21,950.73,13.62,3.42,4.00,4.79,64.17,6.45,592,
2020/02/24 09:59:21,950.87,13.75,3.45,4.00,4.79,63.13,6.27,592,
2020/02/24 10:04:21,950.91,13.84,3.47,4.00,4.79,63.92,6.02,591,
2020/02/24 10:09:21,950.90,13.66,3.44,4.00,4.79,65.36,5.90,587,
2020/02/24 10:14:21,950.97,13.64,3.40,4.25,4.79,65.47,5.87,589,
2020/02/24 10:19:21,950.63,13.26,3.41,4.00,4.79,64.64,6.34,592,
2020/02/24 10:24:21,950.87,13.10,3.49,4.25,4.79,64.29,6.05,586,
2020/02/24 10:29:21,950.98,13.09,3.57,4.25,4.79,64.05,6.06,611,
2020/02/24 10:34:21,950.84,13.21,3.64,4.25,4.79,63.19,6.31,585,
2020/02/24 10:39:21,950.79,13.18,3.71,4.25,4.79,63.66,6.22,603,
2020/02/24 10:44:21,950.69,13.18,3.72,4.25,4.79,64.61,6.09,604,
2020/02/24 10:49:21,950.63,13.10,3.74,4.25,4.79,64.40,6.06,604,
2020/02/24 10:54:21,950.35,13.13,3.71,4.25,4.79,66.32,5.94,615,
2020/02/24 10:59:21,950.49,13.14,3.65,4.25,4.79,64.94,6.09,609,
2020/02/24 11:04:21,950.67,12.91,3.64,4.25,4.79,66.28,6.00,607,
2020/02/24 11:09:21,950.63,12.88,3.59,4.25,4.79,67.36,5.83,608,
2020/02/24 11:14:21,950.71,12.76,3.54,4.25,4.79,65.43,6.16,613,
2020/02/24 11:19:21,950.63,12.74,3.51,4.25,4.79,65.72,6.02,611,
2020/02/24 11:24:21,950.85,12.78,3.55,4.25,4.79,63.87,6.34,577,
2020/02/24 11:29:21,950.72,12.75,3.65,4.25,4.79,63.09,6.80,591,
2020/02/24 11:34:21,950.63,12.59,3.77,4.50,4.79,64.00,6.47,595,
2020/02/24 11:39:21,950.88,12.52,3.86,4.50,4.79,64.65,6.40,593,
2020/02/24 11:44:21,950.79,12.51,3.88,4.50,4.79,66.18,5.89,595,
2020/02/24 11:49:21,950.89,12.48,3.88,4.50,4.79,65.43,6.57,598,
2020/02/24 11:54:21,950.78,12.47,3.92,4.50,4.79,65.58,6.31,601,
2020/02/24 11:59:21,950.59,12.42,3.96,4.50,4.79,64.81,6.77,628,
2020/02/24 12:04:21,950.10,12.49,4.10,4.75,4.79,63.79,6.57,616,
2020/02/24 12:09:21,950.58,12.43,4.21,4.75,4.79,64.23,6.54,610,
2020/02/24 12:14:21,950.43,12.52,4.33,5.00,4.79,64.32,6.39,603,
2020/02/24 12:19:21,950.84,12.44,4.37,5.00,4.79,64.23,6.60,598,
2020/02/24 12:24:21,950.69,12.46,4.42,5.00,4.79,63.79,6.87,601,
2020/02/24 12:29:21,950.81,12.43,4.52,5.25,4.79,63.73,6.82,613,
2020/02/24 12:34:21,951.11,12.19,4.55,5.25,4.79,64.14,6.91,611,
2020/02/24 12:39:21,950.69,12.23,4.66,5.25,4.79,63.75,6.55,604,
2020/02/24 12:44:21,950.79,12.15,4.68,5.25,4.79,65.10,6.50,606,
2020/02/24 12:49:21,951.13,12.02,4.67,5.25,4.79,65.47,6.83,604,
2020/02/24 12:54:21,950.97,12.02,4.65,5.25,4.79,65.47,6.51,618,
